Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,Age,AccountId
"7424817","1","2017-01-16 10:05:41","durgesh","2017-10-06 13:05:03","","","","2","0","0","https://www.gravatar.com/avatar/81a346660d2bcae7a0817ca5c4887d28?s=128&d=identicon&r=PG&f=1","","","10042361"
"7424818","1","2017-01-16 10:06:04","D.kim","2017-01-16 10:06:04","","","","0","0","0","https://www.gravatar.com/avatar/0271ef0abf023ec8af4fbce6c9f8e16c?s=128&d=identicon&r=PG&f=1","","","10042362"
"7424819","26","2017-01-16 10:06:10","GreatBlacksmith","2017-06-30 16:01:45","","","","1","0","0","https://www.gravatar.com/avatar/01b5df6ae29a53ea437d80c3cd41681b?s=128&d=identicon&r=PG&f=1","","","10042363"
"7424820","1","2017-01-16 10:06:53","Hugo Bentzen","2017-05-02 13:27:15","","","","0","0","0","https://lh6.googleusercontent.com/-XS5e3U-1bWc/AAAAAAAAAAI/AAAAAAAAALY/6jvIBJBn18E/photo.jpg","","","10042366"
"7424821","1","2017-01-16 10:06:58","Rajni Tewari","2017-02-02 12:31:00","","","","0","0","0","https://www.gravatar.com/avatar/1d26a1755a348eaa32b56e063bdc175a?s=128&d=identicon&r=PG&f=1","","","10042367"
"7424822","1","2017-01-16 10:07:16","Imran Ali","2017-02-23 11:34:37","","","","0","0","0","https://www.gravatar.com/avatar/4e672e216615ae58496c7eebda0dc77b?s=128&d=identicon&r=PG&f=1","","","9827135"
"7424823","1","2017-01-16 10:07:19","Alexander Berry","2017-01-16 10:07:19","","","","0","0","0","https://www.gravatar.com/avatar/6a31be5a77d85098eb7fb1d7aedec8f4?s=128&d=identicon&r=PG&f=1","","","10042370"
"7424824","1","2017-01-16 10:07:20","D.Satrio","2017-01-18 14:43:03","","Jakarta, Indonesia","","0","0","0","https://www.gravatar.com/avatar/a500a2bf321e4028d50eb662524dafe2?s=128&d=identicon&r=PG&f=1","","","10042371"
"7424825","1","2017-01-16 10:07:49","user7424825","2017-01-16 10:07:49","","","","0","0","0","https://www.gravatar.com/avatar/724558439a6d8a1c8abfb5aa3e3e8321?s=128&d=identicon&r=PG&f=1","","","10042373"
"7424826","93","2017-01-16 10:07:53","Jun Zhang","2017-10-07 13:03:59","https://zhangjunphy.github.io","Beijing, China","","4","8","0","https://lh5.googleusercontent.com/-jCXSNP8Whwg/AAAAAAAAAAI/AAAAAAAAACI/5WnxWQpT3dU/photo.jpg?sz=128","","","10042374"
"7424827","1","2017-01-16 10:08:02","G. Prinsloo","2017-08-10 10:47:22","","","","0","0","0","https://www.gravatar.com/avatar/b2ad93bda45e4586a6ca6ed818affb15?s=128&d=identicon&r=PG&f=1","","","10042375"
"7424828","31","2017-01-16 10:08:03","Anup Mali","2017-01-16 10:23:06","","","","4","0","0","https://graph.facebook.com/10154881086569664/picture?type=large","","","10042376"
"7424829","1","2017-01-16 10:08:06","Stephen Forte","2017-01-18 13:52:56","","","","0","0","0","https://www.gravatar.com/avatar/4231426b8c29ba597d084bfca34eae8c?s=128&d=identicon&r=PG&f=1","","","10042377"
"7424830","1","2017-01-16 10:08:13","iTelemarked","2017-10-03 14:35:24","","","","0","0","0","https://www.gravatar.com/avatar/07b824f37ed85ac8199e38d7fa076f31?s=128&d=identicon&r=PG&f=1","","","10042379"
"7424831","1","2017-01-16 10:08:26","Sergiu Andrei","2017-10-04 07:27:53","","România","<p>Love Web Developing and building tools for automation</p>
","0","0","0","https://i.stack.imgur.com/RDqUo.jpg?s=128&g=1","","","10042211"
"7424832","1","2017-01-16 10:08:38","elika malmir","2017-10-07 17:22:18","","","","0","0","0","https://lh4.googleusercontent.com/-MgDCXeo8Rwk/AAAAAAAAAAI/AAAAAAAACeQ/N_0D1mGtQ5A/photo.jpg","","","10042380"
"7424833","1","2017-01-16 10:08:42","UsernameNotFound","2017-01-16 10:08:42","","","","0","0","0","https://www.gravatar.com/avatar/84a7c0c2fb659a6424e3d1104d8b3ba5?s=128&d=identicon&r=PG&f=1","","","10041591"
"7424834","123","2017-01-16 10:09:02","Nikita Dudarev","2017-10-06 23:01:31","http://nikita-dudarev.com.ua/","Kharkiv, Kharkiv Oblast, Ukraine","<p>Full stack web | WordPress developer</p>

<p>Stack: </p>

<ul>
<li>PHP 5.x, 7.x</li>
<li>JavaScript</li>
<li>jQuery</li>
<li>Vagrant</li>
<li>HTML5 &amp; CSS3</li>
</ul>
","19","6","0","https://lh5.googleusercontent.com/-crlHucTp22c/AAAAAAAAAAI/AAAAAAAAAAw/c78qoLoA_fc/photo.jpg?sz=128","","","10042381"
"7424835","1","2017-01-16 10:09:17","user7424835","2017-01-16 10:09:17","http://www.strongtesterone.com/nitric-muscle-reviews/","vic","<p><a href=""http://www.strongtesterone.com/nitric-muscle-reviews/"" rel=""nofollow noreferrer"">Nitric Muscle</a> Carbohydrates also are vital ingredients that construct muscle - or instead carbs are critical additives of meals that construct muscle. select meals which can be high in carbohydrate which are also high in fibre - oatmeal, rice, and potato are all good.<a href=""http://www.strongtesterone.com/nitric-muscle-reviews/"" rel=""nofollow noreferrer"">http://www.strongtesterone.com/nitric-muscle-reviews/</a></p>
","0","0","0","https://www.gravatar.com/avatar/e90bb67a7d3e559ad146757674863596?s=128&d=identicon&r=PG&f=1","","14","10042383"
"7424836","1","2017-01-16 10:09:28","hp.ssad","2017-01-24 19:23:00","","","","0","0","0","https://i.stack.imgur.com/tSGht.gif","","","10042386"
"7424837","1","2017-01-16 10:09:28","Majid Nazari","2017-10-07 05:23:03","","","","0","0","0","https://lh6.googleusercontent.com/-9H4WZ_5p1to/AAAAAAAAAAI/AAAAAAAAAYE/i87kJwN2bzg/photo.jpg","","","10042387"
"7424838","1","2017-01-16 10:09:55","YouRASH","2017-02-15 11:10:35","","Kyiv city, Ukraine","","0","0","0","https://lh4.googleusercontent.com/-en7rursUJ38/AAAAAAAAAAI/AAAAAAAAE8s/NKUONnq_C4s/photo.jpg","","","10042388"
"7424839","1","2017-01-16 10:10:12","Sagar Khandale","2017-06-12 13:27:15","","Pune, Maharashtra, India","","0","0","0","https://i.stack.imgur.com/Mu7Nu.jpg","","25","10042390"
"7424840","1","2017-01-16 10:10:23","joshua","2017-09-26 12:36:24","","","","0","0","0","https://www.gravatar.com/avatar/b2027299d300c15c1235af2dc9d082b8?s=128&d=identicon&r=PG&f=1","","","10042391"
"7424841","1","2017-01-16 10:10:26","Riemi","2017-01-16 10:10:26","","","","0","0","0","","","","10042392"
"7424843","1","2017-01-16 10:10:47","Denis","2017-02-26 10:10:00","","","","0","0","0","https://www.gravatar.com/avatar/b90bbf32b41f0c178d2d0ecda7e07315?s=128&d=identicon&r=PG&f=1","","","10042396"
"7424844","15","2017-01-16 10:11:11","Michael","2017-10-06 12:11:47","","Spain Street, Nueva Orleans, Luisiana, Estados Unidos","<p>Trying to survive in this mathematical - programming world!!</p>
","15","0","0","https://www.gravatar.com/avatar/f2cc6704ffb8d2bf256aa6d67bb7c1cf?s=128&d=identicon&r=PG&f=1","","","10042398"
"7424845","1","2017-01-16 10:11:13","Riemi","2017-02-13 12:29:13","","","","0","0","0","","","","10042365"
"7424846","1","2017-01-16 10:11:14","Michael Matthews","2017-01-16 10:11:14","","","","0","0","0","https://www.gravatar.com/avatar/a3fb28ad8247d2584ab6e59a142c2495?s=128&d=identicon&r=PG&f=1","","","10042399"
"7424847","3","2017-01-16 10:11:39","Henna","2017-10-05 20:34:50","","","","1","0","0","https://www.gravatar.com/avatar/7047ff1e1d9b2d8c0747767a36dab8ef?s=128&d=identicon&r=PG&f=1","","","10042400"
"7424848","1","2017-01-16 10:11:41","Indrasena Reddy","2017-01-23 09:25:24","","","","0","0","0","https://www.gravatar.com/avatar/3bb385d7e6b59ffd2cc0d0fb8c47e183?s=128&d=identicon&r=PG&f=1","","","10042401"
"7424849","1","2017-01-16 10:11:50","Amrut Terdal","2017-07-04 13:46:15","","India","","0","0","0","https://www.gravatar.com/avatar/6988c117564ad96060339f59fabb9bd1?s=128&d=identicon&r=PG&f=1","","","10042402"
"7424850","6","2017-01-16 10:11:51","tapan prajapati","2017-09-20 06:16:02","","Ahmedabad, Gujarat, India","","10","0","0","https://lh6.googleusercontent.com/-XaSaJCrhN5Q/AAAAAAAAAAI/AAAAAAAAAEM/QvH3qXy6-so/photo.jpg?sz=128","","","10042403"
"7424851","1","2017-01-16 10:11:54","Peter Oostelbos","2017-01-17 11:14:15","","","","0","0","0","https://www.gravatar.com/avatar/db8c4a682ea9343cbbee6859c3bf9d84?s=128&d=identicon&r=PG&f=1","","","10042404"
"7424852","1","2017-01-16 10:12:00","tabila 7070","2017-05-24 14:25:38","","","","0","0","0","https://lh5.googleusercontent.com/-RdrUE-aqFW8/AAAAAAAAAAI/AAAAAAAAFwc/O3RFjLhSIvs/photo.jpg","","","9569875"
"7424853","1","2017-01-16 10:12:54","Curious ","2017-10-01 01:47:09","","","","0","0","0","https://www.gravatar.com/avatar/c5fb851d6cd2b7788f326b309f1e9dfe?s=128&d=identicon&r=PG&f=1","","","8175467"
"7424854","1","2017-01-16 10:13:00","Sree","2017-03-10 07:08:53","","","","0","0","0","https://www.gravatar.com/avatar/5d53c449f68fe98bd7cd109fd20396a9?s=128&d=identicon&r=PG&f=1","","","10042406"
"7424855","1","2017-01-16 10:13:18","Masterpiece","2017-10-07 10:59:20","","","","0","0","0","https://www.gravatar.com/avatar/39644a22fabb71cd9d46ad0717a04c63?s=128&d=identicon&r=PG&f=1","","","10042407"
"7424856","1","2017-01-16 10:13:41","迪迪畏","2017-09-05 09:23:48","","","","0","0","0","https://www.gravatar.com/avatar/201773dd6fc9b5dfcf26a40c4fd7633f?s=128&d=identicon&r=PG&f=1","","","10042408"
"7424857","1","2017-01-16 10:14:44","Nate","2017-02-08 11:00:32","","","","0","0","0","https://lh4.googleusercontent.com/-HIUEoC9glcw/AAAAAAAAAAI/AAAAAAAAABU/2PJJ0UWObjk/photo.jpg","","","10042409"
"7424858","1","2017-01-16 10:14:50","Anand - MCSA MCPD MCTS MCSD","2017-10-02 12:20:08","","Dubai - United Arab Emirates","<p>•   Offering more than 8 years of real time Onsite and Offshore experience across Requirement Analysis, Design, Development and execution using Several Microsoft Technologies.</p>

<p>•   Onsite (Sydney Australia, Dubai UAE) Working experience at Client place SITA Aero, GDRFA (General Directorate of Residency and Foreigners Affairs) Dubai Government Airport Authority as well as worked with USA Client KPMG.</p>

<p>•   In-depth knowledge of all phases of Software Development Life Cycle (SDLC) with concentration on Software Requirements Specifications (SRS), Requirements Analysis, Technical Systems Design, Development and Implementation of various applications in Agile methodology. 
•   Proficient in development techniques for Web based applications and Client-server applications.</p>

<p>•   Hands on experience in working with WPF, PRISM, MVVM Light, WCF, ASP.NET, Jquery, Angular, CSS, ADO.NET, Silverlight, SQL SERVER, C#, VB.NET, Multithreading, Caching, Garbage Collection, Serialization, Exception Handling etc.</p>

<p>•   Hands on experience on Third Party Tools as Telerik RAD Controls, Infragistics, Adobe Photoshop, Dreamweaver.</p>

<p>•   Having good experience on Tiered architecture, Design patterns (MVVM, MVVMP, MVC) and Architectural patterns (PRISM).</p>

<p>•   Domain knowledge: Airlines /Aviation, (Air Land &amp; Sea) Border Securities, Auditing, Education, Ecommerce, Finance, Travel &amp; Hospitality.</p>
","0","0","0","https://i.stack.imgur.com/7jHPJ.jpg?s=128&g=1","","32","10042410"
"7424859","1","2017-01-16 10:14:57","VA_Frank","2017-01-24 10:18:47","","","","0","0","0","","","","10042412"
"7424860","1","2017-01-16 10:14:58","Neelima Jain","2017-02-17 11:05:39","","","","0","0","0","https://lh4.googleusercontent.com/-T-xykfR6vR0/AAAAAAAAAAI/AAAAAAAAABQ/aEBF1tdD1dk/photo.jpg","","","10042413"
"7424861","1","2017-01-16 10:15:00","Rich Beal","2017-01-16 10:15:00","","","","0","0","0","https://www.gravatar.com/avatar/cadf54740f7ee6df5186e03da46ee5a5?s=128&d=identicon&r=PG&f=1","","","10042414"
"7424862","1","2017-01-16 10:15:03","Leon L","2017-03-08 07:05:12","","","","0","0","0","https://lh6.googleusercontent.com/-Ts-ewgupjJ0/AAAAAAAAAAI/AAAAAAAAABk/c9SQ_gI-4vU/photo.jpg","","","10042415"
"7424863","1","2017-01-16 10:15:13","Kevin Riemens","2017-01-16 10:15:13","","","","0","0","0","https://www.gravatar.com/avatar/777566359e1be190a6c75dc5cb75a12e?s=128&d=identicon&r=PG&f=1","","","10042416"
"7424864","8","2017-01-16 10:15:16","user 12345","2017-04-05 12:58:54","","Indore, Madhya Pradesh, India","","6","0","0","https://www.gravatar.com/avatar/27bdf2ac3f623a32ab9053b9a1f4e965?s=128&d=identicon&r=PG&f=1","","","10042417"
"7424865","1","2017-01-16 10:15:35","Faiz Ehmat Dae","2017-01-30 10:27:25","","","","0","0","0","https://graph.facebook.com/967504513382170/picture?type=large","","","10042418"
"7424866","18","2017-01-16 10:15:36","lohithbb","2017-09-20 13:40:55","","","","2","13","0","","","","10042419"
"7424867","1","2017-01-16 10:15:51","Minoush","2017-04-10 15:39:56","","Dakar, Sénégal","","9","0","0","https://i.stack.imgur.com/CP7dT.jpg?s=128&g=1","","","10042420"
"7424868","1","2017-01-16 10:16:03","a1ubkh4n","2017-09-30 19:46:03","","Dhaka, Dhaka Division, Bangladesh","","0","0","0","https://www.gravatar.com/avatar/0326b0e7a6c7afd467ccf08d18772f02?s=128&d=identicon&r=PG&f=1","","21","7956323"
"7424869","1","2017-01-16 10:16:07","Ravi","2017-02-14 10:56:59","","","","1","0","0","https://www.gravatar.com/avatar/68ace274b1bff2132c8b2eb55f467c92?s=128&d=identicon&r=PG&f=1","","","10042421"
"7424870","1","2017-01-16 10:16:34","ivo nederlof","2017-09-29 12:48:34","","Den haag","","0","0","0","https://www.gravatar.com/avatar/2bebd4ff55ca7e89107ddf10c8af31d3?s=128&d=identicon&r=PG&f=1","","27","10042425"
"7424871","1","2017-01-16 10:16:52","Vincent Alloy","2017-03-29 15:51:06","","","","0","0","0","https://lh4.googleusercontent.com/-xyLnHzq9Znk/AAAAAAAAAAI/AAAAAAAAB_E/_YHjqB9uscQ/photo.jpg","","","10042426"
"7424872","3","2017-01-16 10:16:55","Xuan-Anh Nguyen","2017-10-02 03:04:51","","Taipei City, Đài Loan","<p>I am an Automation Engineer</p>
","2","0","0","https://lh5.googleusercontent.com/-0RIu_d_UuLo/AAAAAAAAAAI/AAAAAAAABJM/nhQ9AYqHD7U/photo.jpg?sz=128","","","10042427"
"7424873","1","2017-01-16 10:17:13","Rustin Cheney","2017-01-16 10:17:13","","","","0","0","0","https://graph.facebook.com/1189845807731182/picture?type=large","","","10042430"
"7424874","1","2017-01-16 10:17:55","ArtyM","2017-01-16 10:17:55","","","","0","0","0","https://www.gravatar.com/avatar/7f710875588f942465d7f50307ffaa0b?s=128&d=identicon&r=PG&f=1","","","10042432"
"7424875","1","2017-01-16 10:18:08","Toni Peric","2017-03-17 13:19:56","","","","0","0","0","https://lh6.googleusercontent.com/-7qdd020bcXQ/AAAAAAAAAAI/AAAAAAAAACY/7L5wMGgoU_Q/photo.jpg","","","10042433"
"7424876","1","2017-01-16 10:18:20","Д. Энхбаяр","2017-02-15 04:00:35","","","","1","0","0","https://graph.facebook.com/10202773324771946/picture?type=large","","","10042434"
"7424877","1","2017-01-16 10:18:27","kenneth","2017-01-16 10:18:27","","","","0","0","0","https://www.gravatar.com/avatar/4a33ff20f49ad48a71b286159bab2591?s=128&d=identicon&r=PG&f=1","","","10042435"
"7424878","1","2017-01-16 10:19:00","user7424878","2017-09-08 15:07:14","","","","0","0","0","https://www.gravatar.com/avatar/c94e42397dc153184b5b4b873f5804c3?s=128&d=identicon&r=PG&f=1","","","10042436"
"7424879","1","2017-01-16 10:19:03","Ravi Kiran","2017-05-16 06:00:55","","","","0","0","0","https://graph.facebook.com/100001598591501/picture?type=large","","","1035706"
"7424880","1","2017-01-16 10:19:37","Marcin Chmielowski","2017-03-07 18:01:32","","The Hague, Holandia","","0","0","0","https://graph.facebook.com/1610344565648512/picture?type=large","","","10042438"
"7424881","1","2017-01-16 10:20:08","Rawsome","2017-04-18 12:54:33","","","","0","0","0","https://lh3.googleusercontent.com/-2ESlnohNvXw/AAAAAAAAAAI/AAAAAAAAAH4/rv8l_W6dWcM/photo.jpg","","","10042439"
"7424882","1","2017-01-16 10:20:15","Zuks","2017-05-19 11:00:12","","Cape Town, Western Cape, South Africa","","1","0","0","https://www.gravatar.com/avatar/c431e5267fa7aab5b320d50751a7717b?s=128&d=identicon&r=PG&f=1","","","10042440"
"7424883","1","2017-01-16 10:20:28","scr420","2017-03-12 12:07:01","","","","0","0","0","https://www.gravatar.com/avatar/81bbfae865a0a9e54b3b0b0828b6c5d3?s=128&d=identicon&r=PG&f=1","","","10042443"
"7424884","1","2017-01-16 10:20:31","Jelle Meijer","2017-07-07 11:06:23","","Netherlands","","0","0","0","https://graph.facebook.com/1219059104845993/picture?type=large","","","10042444"
"7424885","1","2017-01-16 10:20:40","user7424885","2017-01-16 14:29:43","","","","0","0","0","https://www.gravatar.com/avatar/d59736f62936e5b3b494cb050e2fd5f9?s=128&d=identicon&r=PG&f=1","","","10042445"
"7424886","1","2017-01-16 10:21:25","Ben Praet","2017-04-12 11:22:10","","","","4","0","0","https://www.gravatar.com/avatar/f1e3008fc41a4af018feedbddb33dc17?s=128&d=identicon&r=PG&f=1","","","10042448"
"7424887","1","2017-01-16 10:21:53","Вадим Галицкий","2017-01-17 13:04:16","","Ukraina","","0","0","0","https://www.gravatar.com/avatar/03ae5be7686602fd8d80c7b042f4dbd0?s=128&d=identicon&r=PG&f=1","","","10042450"
"7424888","1","2017-01-16 10:21:59","WouterC","2017-01-16 10:21:59","","","","0","0","0","https://www.gravatar.com/avatar/dc63bdd6616a29f3c8318db04519392d?s=128&d=identicon&r=PG&f=1","","","10042451"
"7424889","6","2017-01-16 10:22:06","python101","2017-09-13 06:16:15","","","","3","0","0","https://www.gravatar.com/avatar/aa5eb73b2becce63205e02a54186d96e?s=128&d=identicon&r=PG&f=1","","","10042452"
"7424890","1","2017-01-16 10:22:31","ahmad msallam","2017-05-18 10:09:57","","","","1","0","0","https://www.gravatar.com/avatar/bd141dac0707b18dc895052193d3462c?s=128&d=identicon&r=PG&f=1","","","10042454"
"7424891","1","2017-01-16 10:22:37","user7424891","2017-01-16 12:34:08","","","","4","0","0","https://www.gravatar.com/avatar/15b6dd3c91d4663cfadfeefcc9d62ca4?s=128&d=identicon&r=PG&f=1","","","10042455"
"7424892","1","2017-01-16 10:23:19","JdB82","2017-08-21 09:24:07","","","","0","0","0","https://www.gravatar.com/avatar/1a481990659b6ba33cacb1473c1d016c?s=128&d=identicon&r=PG&f=1","","","10042459"
"7424893","1","2017-01-16 10:23:27","Mason Arnold","2017-01-16 10:23:27","","","","0","0","0","https://www.gravatar.com/avatar/fd633de9c0e9452337ac0a01fb0b5995?s=128&d=identicon&r=PG&f=1","","","10042460"
"7424894","1","2017-01-16 10:23:45","NewBorn Nung","2017-01-20 10:25:48","","","","0","0","0","https://graph.facebook.com/609727562569361/picture?type=large","","","10042464"
"7424895","1","2017-01-16 10:24:00","phelis","2017-01-16 10:24:00","","","","0","0","0","https://www.gravatar.com/avatar/20ec01301e878e17324a6f0272a51021?s=128&d=identicon&r=PG&f=1","","","10042465"
"7424896","58","2017-01-16 10:24:02","Manuel Polacek","2017-10-07 22:20:56","","Germany","<p>Ask me</p>
","10","2","0","https://lh3.googleusercontent.com/-PUOkkv_nYBE/AAAAAAAAAAI/AAAAAAAABW8/uDTbTd1tcvA/photo.jpg?sz=128","","33","10042466"
"7424897","1","2017-01-16 10:24:07","Deepshikha Pandey","2017-01-29 13:06:39","","","","0","0","0","https://www.gravatar.com/avatar/41f3c6c2617444359bb64b63c711996d?s=128&d=identicon&r=PG&f=1","","","10042467"
"7424898","3","2017-01-16 10:24:13","KVadim","2017-01-16 14:20:31","","","","0","0","0","https://www.gravatar.com/avatar/b93eac354d8a5e23c008bc6fc659b08e?s=128&d=identicon&r=PG&f=1","","","10042468"
"7424899","1","2017-01-16 10:24:26","Ran","2017-06-22 15:19:02","","","","0","0","0","https://www.gravatar.com/avatar/c4d19c039eceda8a5cb0f7c3c4067aba?s=128&d=identicon&r=PG&f=1","","","10042469"
"7424900","1","2017-01-16 10:24:31","polisetty dhana harsha","2017-02-20 06:54:42","","","","0","0","0","https://lh6.googleusercontent.com/-B8nmzYHGnwQ/AAAAAAAAAAI/AAAAAAAAADE/lAGKGqVokCM/photo.jpg","","","10042470"
"7424901","1","2017-01-16 10:24:39","medameat","2017-10-05 09:33:37","","","","0","0","0","https://www.gravatar.com/avatar/b7c4f8c993272f6584175860029f4121?s=128&d=identicon&r=PG&f=1","","","10042471"
"7424902","1","2017-01-16 10:25:03","Максим Булитко","2017-01-16 10:25:03","","","","0","0","0","https://www.gravatar.com/avatar/12e7c48ba3f81f6d3d419c288008d475?s=128&d=identicon&r=PG&f=1","","","10042473"
"7424903","1","2017-01-16 10:25:08","mikedevnet","2017-08-16 15:51:52","","","","0","0","0","https://www.gravatar.com/avatar/602816320490b5e67dfc0e2d6b15efcc?s=128&d=identicon&r=PG&f=1","","","10042474"
"7424904","134","2017-01-16 10:25:10","Benjamin","2017-10-05 14:21:33","","Stuttgart, Germany","<p>I sarted tinkering around with Python as a student to replace Matlab. Now I am lucky enaugh to use it in my job as well.</p>
","9","51","3","https://www.gravatar.com/avatar/87591fec0e74b36b567173f413834a27?s=128&d=identicon&r=PG&f=1","","","10042475"
"7424905","1","2017-01-16 10:25:10","Thahir CP","2017-02-13 11:39:53","","","","0","0","0","https://lh4.googleusercontent.com/-N8PcuCaIChQ/AAAAAAAAAAI/AAAAAAAAABg/RJ035ybqG8I/photo.jpg","","","10042476"
"7424906","1","2017-01-16 10:25:21","Christophe Delaporte","2017-06-03 08:39:38","","Amsterdam, Netherlands","<p>I am learning Coding and programming with Swift. I am 51 and I discover a vast space where creativity, patience, focus, and joy melt together. It is not easy but the challenge is truly worth it.</p>
","22","0","0","https://i.stack.imgur.com/Y8XYu.jpg?s=128&g=1","","52","10042477"
"7424907","1","2017-01-16 10:25:24","Riccardo Camattari","2017-03-07 09:30:13","","","","0","0","0","https://www.gravatar.com/avatar/57d4b26b5b61d8106b4b77b3b67d60d8?s=128&d=identicon&r=PG&f=1","","","10042478"
