Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"31133881","2","","31133557","2015-06-30 09:00:55","","0","","<p>You need to change your _settingsManager to have a type of ISettingsManager instead of SettingsManager.</p>

<p>(You're binding ISettingsManager to SettingsManager. This means when Ninject sees a dependency on ISettingsManager it will inject a SettingsManager. If something is directly declared as SettingsManager it won't do anything)</p>
","1136989","","","","","2015-06-30 09:00:55","","","","2","","",""
"31133882","2","","31132813","2015-06-30 09:00:55","","1","","<p>I am not much familiar with <code>d3.nest</code>. But I think you can get your results by using JavaScript Array map function. Try this code.</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var data=[{
  ""Month"": ""Jan"",
  ""typeA"": [
     {
        ""A"": 24000,
        ""B"": 24000,
        ""C"": 24000
     }],
  ""typeB"": [
     {
        ""A"": 20000,
        ""B"": 14000,
        ""C"": 10000
     }],
  ""typeC"": [
     {
        ""A"": 34000,
        ""B"": 44000,
        ""C"": 54000
     }]
     },
      {
  ""Month"": ""Feb"",
  ""typeA"": [
     {
        ""A"": 84000,
        ""B"": 64000,
        ""C"": 14000
     }],
  ""typeB"": [
     {
        ""A"": 20000,
        ""B"": 34000,
        ""C"": 10000
     }],
  ""typeC"": [
     {
        ""A"": 30000,
        ""B"": 40000,
        ""C"": 50000
     }]
    }
  ];

var results = data.map(function(d){ 
  return { 
    Month: d.Month ,
    typeA: d3.sum(d3.values(d.typeA[0])),
    typeB: d3.sum(d3.values(d.typeB[0])),
    typeC: d3.sum(d3.values(d.typeC[0])) 
  } 
});

alert(JSON.stringify(results));</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://cdnjs.cloudflare.com/ajax/libs/d3/3.4.11/d3.min.js""&gt;&lt;/script&gt;</code></pre>
</div>
</div>
</p>
","2143690","","","","","2015-06-30 09:00:55","","","","0","","",""
"31133883","1","","","2015-06-30 09:01:03","","1","646","<p>I must to enable rack-mini-profiler for dev and production. In ApplicationController I have:</p>

<pre><code>before_filter :miniprofiler

def miniprofiler
  Rack::MiniProfiler.authorize_request #if current_user.admin?
end
</code></pre>

<p>In config/initializers/rack_profiler.rb</p>

<pre><code>if Rails.env == 'development'
  require 'rack-mini-profiler'

  Rack::MiniProfilerRails.initialize!(Rails.application)
end
</code></pre>

<p>In dev environment all works fine, but when i push to staging on Heroku, server falls with the</p>

<pre><code>NameError (uninitialized constant Rack::MiniProfiler)
</code></pre>

<p>in this line </p>

<pre><code>Rack::MiniProfiler.authorize_request #if current_user.admin?
</code></pre>

<p>I tried add</p>

<pre><code>reqire 'rack-mini-profiler' to ApplicationController
</code></pre>

<p>but then I cann't even push it to staging with</p>

<pre><code>Push rejected, failed to compile Multipack app
</code></pre>

<p>What i am missing? </p>
","4051543","","4051543","","2015-06-30 09:12:45","2017-01-09 10:06:01","uninitialized constant Rack::MiniProfiler on staging","<ruby-on-rails><staging><rack-mini-profiler>","2","0","","",""
"31133884","2","","31131289","2015-06-30 09:01:04","","1","","<p>To update your test database try</p>

<pre><code>rake db:test:prepare 
</code></pre>
","5061362","","2237785","","2015-07-01 03:10:03","2015-07-01 03:10:03","","","","1","","",""
"31133886","2","","31133504","2015-06-30 09:01:09","","1","","<p>When I change the example you provided to a csv:</p>

<pre><code>order_id,name,address
5432548543,Manish,Dummy Address
</code></pre>

<p>And just iterate over the rows, printing them out:</p>

<pre><code>with open('./data.txt') as f:
    data = csv.DictReader(f)
    for row in data:
            print(l)
</code></pre>

<p>I get:</p>

<pre><code>{'order_id': '5432548543', 'name': 'Manish', 'address': 'Dummy Address'}
</code></pre>

<p>Which suggests the issue isn't in the csv parsing step - but you should try the same thing on your data set to double check.</p>

<p>Then the question is - what is your postgres driver doing that could be causing the issue? Are you using psycopg2? Does it do some automatic casting somewhere?</p>

<p>EDIT so the problem is the src data. Sometimes you have ints in scientific notation. You need to scrub the data before passing it to <code>executemany</code>:</p>

<pre><code>data = csv.DictReader(f)

clean_data = []
for d in data:
    clean_data.append(d)
    try:
        d['Order Id'] = str(int(float(d['Order Id'])))
    except ValueError:
        pass

cur.executemany(""""""Insert into temp_unicom values (%(Order Id)s, %(Name)s, %(Address)s)"""""", clean_data)
</code></pre>
","171450","","171450","","2015-06-30 09:45:24","2015-06-30 09:45:24","","","","18","","",""
"31133887","1","","","2015-06-30 09:01:11","","1","31","<p>What do you think about this block of code? I wan't to execute all queries from array. </p>

<pre><code>foreach($sql_array as $sql) {
     try {

        $this-&gt;_db-&gt;transactionStart();
        $this-&gt;_db-&gt;setQuery((string)$sql)-&gt;execute();
        $this-&gt;_db-&gt;transactionCommit();

     } catch (Exception $e) {
        $this-&gt;_db-&gt;transactionRollback();
        JErrorPage::render($e);
     }
}
</code></pre>

<p>Or should I move <code>$this-&gt;_db-&gt;transactionStart();</code> before <code>foreach</code> statement?</p>
","889349","","889349","","2015-06-30 09:12:37","2015-06-30 09:12:37","Joomla sql transaction in foreach","<php><arrays><joomla><foreach>","0","1","","",""
"31133888","1","","","2015-06-30 09:01:15","","-5","39","<p>I want to replace switch statements here with proper code. I need suggestion of doing this in an improved manner.</p>

<pre><code>switch(true) {
    case ($value === 'test1'):
    $testArray['class'] = 'incomplete';
    return $this-&gt;icon(
        'test_0.png',
        $testArray
    );
    case ($value === 'test2'):
    $testArray['class'] = 'progress';
    return $this-&gt;icon(
        'test_1.png',
        $testArray
    );
    case ($value === 'test3'):
    $testArray['class'] = 'complete';
    return $this-&gt;icon(
        'test_3.png',
        $testArray
    );
}
</code></pre>
","5064303","","","","","2015-06-30 09:15:59","How this code can be done in an improved manner","<php><switch-statement><conditional-statements>","2","3","","2015-06-30 17:59:51",""
"31133889","2","","31133546","2015-06-30 09:01:15","","0","","<p>Try this :</p>

<pre><code>// Time in secondes before the session expires
ini_set('session.gc_maxlifetime', 3600);

// Time in secondes before the ID's session in the cookie expires
session_set_cookie_params(3600);

// Start session
session_start();
</code></pre>

<p>If think this gonna work. Tell me if it work !</p>

<p>(Sorry for my bad english :D)</p>
","4757507","","","","","2015-06-30 09:01:15","","","","0","","",""
"31133890","2","","31130753","2015-06-30 09:01:18","","4","","<ul>
<li><p>If you directly run your testng class, it will first call dataprovider which cant get groups information as groups are not available. But instead if you call this class via testng.xml, it will have groups info available with ITestContext.</p></li>
<li><p>You need to call this class(class name is say 'ParameterByITestContextInDataprovider') through TestNG xml.</p></li>
</ul>

<p>Below is sample xml:-</p>

<pre><code>&lt;!DOCTYPE suite SYSTEM ""http://beust.com/testng/testng-1.0.dtd"" &gt;
&lt;suite name=""test-parameter""&gt;

  &lt;test name=""example1""&gt;

    &lt;groups&gt;
        &lt;run&gt;
            &lt;include name=""A"" /&gt;
        &lt;/run&gt;
    &lt;/groups&gt;

    &lt;classes&gt;
       &lt;class
        name=""com.package123.ParameterByITestContextInDataprovider"" /&gt;
    &lt;/classes&gt;

  &lt;/test&gt;


  &lt;test name=""example2""&gt;

    &lt;groups&gt;
        &lt;run&gt;
            &lt;include name=""B"" /&gt;
        &lt;/run&gt;
    &lt;/groups&gt;

    &lt;classes&gt;
       &lt;class
        name=""com.package123.ParameterByITestContextInDataprovider"" /&gt;
    &lt;/classes&gt;

  &lt;/test&gt;

&lt;/suite&gt;
</code></pre>
","4234503","","","","","2015-06-30 09:01:18","","","","7","","",""
"31133892","2","","25104173","2015-06-30 09:01:22","","1","","<p>I know how to do it using <code>R</code>.
You have to install a package <code>Rfacebook</code>. Then use function :</p>

<pre><code>x&lt;-getPage(page=""pagename"",token = access_token, n = no. of posts)
</code></pre>

<p>This will give all the posts and post ids.
Now  use function</p>

<pre><code>y&lt;-getPost(post = x$id[1], n = number of comments and likes, token = access_token)
</code></pre>

<p>You can use a loop to get all the comments.</p>
","4899039","","4140597","","2015-06-30 10:23:41","2015-06-30 10:23:41","","","","0","","",""
"31133894","2","","31133661","2015-06-30 09:01:26","","3","","<p>It seems you want the cartesian product:</p>

<pre><code>SELECT a.Number, b.Number 
FROM [Table] a, [Table] b
</code></pre>

<p>Or, another way to write:</p>

<pre><code>SELECT a.Number, b.Number 
FROM [Table] a CROSS JOIN [Table] b
</code></pre>
","2504785","","","","","2015-06-30 09:01:26","","","","2","","",""
"31133895","1","","","2015-06-30 09:01:30","","4","1414","<p>I was trying a custom activity as like Whatsapp Group Profile page, where I need to place , 1 Image in left and two text in a layout to the right of image and two icons in the right. The collapsing layout which is currently available is with Imageview only. I am trying similar to the below orange screenshot where I make my layout in place of Imagview to collapse into the tool bar and when scroll on top the images textview and icons gets transferred from below layout to toolbar in the top. Tried all possible ways, Imageview is there but in layout I couldnt achieve.<img src=""https://i.stack.imgur.com/xG698.jpg"" alt=""enter image description here""></p>
","1113192","","","","","2015-06-30 09:01:30","Collapsing layout in a tool bar with Images and text and icons in Android","<android><parallax><whatsapp><user-profile><collapsingtoolbarlayout>","0","4","","",""
"31133896","2","","31133122","2015-06-30 09:01:32","","0","","<p>The problem is <code>min.js</code>
You can't wrap a <code>min</code> version of scripts in bundle of MVC.</p>

<p>Because its already minified.</p>

<p>Try instead-</p>

<pre><code>bundles.Add(new ScriptBundle(""~/bundles/lightbox"").Include(
                    ""~/Scripts/lightbox-2.6.js""));
</code></pre>
","1982631","","","","","2015-06-30 09:01:32","","","","5","","",""
"31133897","2","","31133780","2015-06-30 09:01:34","","0","","<p>You have to call the <code>showDialog()</code> method (or whatever the corresponding DirectoryChooser method is called) to show the dialog to the user. If you're referring to the DirectoryChooser class in the JavaFX library you can call <code>showDialog(Window owner)</code> to make the dialog block IO to the owner window as well.</p>
","2622234","","","","","2015-06-30 09:01:34","","","","0","","",""
"31133898","2","","31131520","2015-06-30 09:01:39","","0","","<p>If a sender attempts to send data at a higher rate than the network can support, initially the data will be buffered - in the network card, operating systems buffers, and/or buffers in the sending process.  Eventually the buffers will fill, and the sending thread or process will be blocked until buffers are emptied.</p>

<p>If buffers on routers or the receiving system are filled, packets are dropped.</p>

<p>Maximum Ethernet packet sizes have been about 1500 bytes until Gigabit Ethernet came along.  With higher speeds, <em>jumbo frames</em> were implemented which increased packet sizes to about 9k bytes.</p>
","1638010","","","","","2015-06-30 09:01:39","","","","1","","",""
"31133899","2","","31067225","2015-06-30 09:01:40","","0","","<p>Use <code>substring-before</code> to remove those characters.</p>
","3905397","","2237785","","2015-07-03 19:08:53","2015-07-03 19:08:53","","","","0","","",""
"31133900","1","","","2015-06-30 09:01:40","","0","69","<p>I'm trying to write a function that will extract and summarize all integers, no matter how many levels deep (I'm talking multidimensional arrays here) from a given array. Here's what I've got so far:</p>

<pre><code>function addTheNumbers (someArray) {
    var onlyNumbers = someArray.filter(function(a){ return typeof(a)=='number'; });
    for (i = 0; i &amp;lt; onlyNumbers.length; i++) {
        // idk
    }
}
var sampleArray = ['word',['a','b','c'],12314,'longer phrase',5,[123,123,2],10,3874,32];
addTheNumbers(sampleArray);
</code></pre>

<p>I have two concerns:</p>

<p><strong>1)</strong> I feel like the filter I have in place will only extract the numbers that are standing alone within the given array and not ALL numbers in ALL arrays… not sure how to fix it.</p>

<p><strong>2)</strong> I know that once I've got all the numbers extracted, they'll be stored in an object/array, and I'll have to iterate through it somehow to add them all together, but… once again I have no idea how to proceed.</p>

<p><a href=""http://jsfiddle.net/w7equtrL/"" rel=""nofollow"">JSFiddle</a> to make things easier.</p>
","5064654","","","","","2015-06-30 21:51:31","Extracting and Adding Numbers From Array(s)","<javascript><arrays><function><numbers>","4","3","","",""
